noga2008_seco,noga2008_seco_title,d_unemp_apr,lockdown_index,unemp_abs_apr2019
01-03,"Land- und Forstwirtschaft, Fischerei",31.314285,.14116268,875
05-09,"Bergbau, Steine und Erden",38.57143,.47473031,70
10-12,"Nahrungsmittel, Getränke, Tabak",28.93716,.39100286,2578
13-14,Textilien und Bekleidung,25.308641,.4234077,324
15,"Leder, Lederwaren und Schuhe",3.5087719,.44377342,57
16,"Holz-, Flecht-, Korb- und Korkwaren",95,.70937926,660
17-18,Papier- und Druckgewerbe,17.44627,.27314219,791
19-21,"Chemische Industrie, Mineralölverarbeitung",23.496836,.28444412,1264
22,Gummi- und Kunststoffwaren,40.373562,.38059938,696
23,"Glas, Keramik, Zementwaren",16.206261,.43441683,543
24-25,"Metallerzeugung, Metallerzeugnisse",56.474819,.40052626,2224
26-27,"Elektrotechnik, Elektronik, Uhren, Optik",49.189774,.28663132,2777
28,Maschinenbau,55.102039,.34275925,1176
29-30,Fahrzeugbau,35.028248,.35277998,354
31-33,Möbel; Reparatur von Maschinen,33.480957,.44703954,1129
35,Energieversorgung,46.096653,.3748298,269
36-39,Recycling; Wasserversorgung,20.212767,.35797104,376
41-43,Baugewerbe,62.1343,.56407559,10767
45,Autohandel und -reparatur,44.919785,.08265283,1683
46,Grosshandel,24.28833,.2420751,6007
47,Detailhandel,32.010242,.36861008,7810
49-53,Verkehr und Transport,44.862728,.36047649,4808
55-56,Gastgewerbe,90.55452,.60136235,9666
58-63,Information und Kommunikation,30.693069,.2254761,3737
64-66,Finanz- und Versicherungsdienstleistungen,27.517376,.14220303,5611
68,Grundstücks- und Wohnungswesen,39.090065,.3098346,1077
69-75,"Freiberufliche, wissenschaftliche u. techn. Dienstleistungen",40.380341,.2811192,8098
77-82,Sonstige wirtschaftliche Dienstleistungen,45.168571,.35400692,6644
84,"Öffentl. Verwaltung, Sozialversicherungen",42.179333,0,2487
85,Erziehung und Unterricht,50.159744,.56405193,3130
86-88,Gesundheits- und Sozialwesen,28.031809,0,9557
90-93,"Kunst, Unterhaltung und Erholung",50.636749,.49563527,1649
94-96,Sonstige Dienstleistungen,30.500175,.53436118,2859
97-98,Private Haushalte mit Hauspersonal,14.611872,.42136696,1095
