canton;genehmigte_KZA;lockdown_index_adjusted;weights
Zürich;35.4;0.24;783031
Bern;28.1;0.26;475300
Luzern;37.9;0.29;182313
Uri;31.9;0.28;12087
Schwyz;42.1;0.28;61926
Obwalden;32.1;0.34;15634
Nidwalden;33.3;0.3;20006
Glarus;34.5;0.26;16626
Zug;39.3;0.26;85386
Freiburg;37.4;0.3;109527
Solothurn;31.3;0.3;104501
Basel-Stadt;47.8;0.25;151575
Basel-Landschaft;32.1;0.28;109575
Schaffhausen;31.7;0.28;36169
Appenzell A. Rh.;28.2;0.27;19667
Appenzell I. Rh.;37.1;0.36;6230
St. Gallen;31.3;0.29;232814
Graubünden;36.9;0.28;96344
Aargau;37.9;0.28;266703
Thurgau;30.9;0.29;100693
Tessin;47.3;0.29;200988
Waadt;32.5;0.26;377329
Wallis;33.7;0.31;130343
Neuenburg;43.2;0.27;82948
Genf;36.1;0.25;287808
Jura;45;0.27;35130
