canton;genehmigte_KZA;lockdown_index;weights
Zürich;35.4;0.29;772627
Bern;28.1;0.30;471785
Luzern;37.9;0.32;181699
Uri;31.9;0.37;12041
Schwyz;42.1;0.32;61554
Obwalden;32.1;0.39;15516
Nidwalden;33.3;0.34;19918
Glarus;34.5;0.30;16565
Zug;39.3;0.28;84391
Freiburg;37.4;0.34;108500
Solothurn;31.3;0.33;102350
Basel-Stadt;47.8;0.29;117643
Basel-Landschaft;32.1;0.31;87256
Schaffhausen;31.7;0.30;31237
Appenzell A. Rh.;28.2;0.32;19266
Appenzell I. Rh.;37.1;0.38;6131
St. Gallen;31.3;0.33;223614
Graubünden;36.9;0.31;89346
Aargau;37.9;0.32;252787
Thurgau;30.9;0.33;95107
Tessin;47.3;0.31;133109
Waadt;32.5;0.29;344904
Wallis;33.7;0.35;127263
Neuenburg;43.2;0.30;70003
Genf;36.1;0.28;200705
Jura;45.0;0.27;26489
