noga2008_kza;noga2008_kza_title;genehmigte_KZA;lockdown_index;weights
A 01-03;Land- und Forstwirtschaft, Fischerei;5.2;0.14;112084
B 05-09;Bergbau, Steine und Erden;27.2;0.47;2751
C 10-12;Nahrungsmittel, Getränke, Tabak;43.9;0.39;63937
C 13-14;Textilien und Bekleidung;76.7;0.42;9737
C 15;Leder, Lederwaren und Schuhe;68.7;0.44;801
C 16;Holz-, Flecht-, Korb- und Korkwaren;44.3;0.71;26640
C 17-18;Papier- und Druckgewerbe;51.2;0.27;20024
C 19-21;Chemische Industrie, Mineralölverarbeitung;14.2;0.28;50883
C 22;Gummi- und Kunststoffwaren;43.8;0.38;16974
C 23;Glas, Keramik, Zementwaren;42.0;0.43;14746
C 24-25;Metallerzeugung, Metallerzeugnisse;51.5;0.40;74237
C 26-27;Elektrotechnik, Elektronik, Uhren, Optik;50.6;0.29;102841
C 28;Maschinenbau;50.2;0.34;65404
C 29-30;Fahrzeugbau;36.6;0.35;15000
C 31-33;"Möbel; Reparatur von Maschinen";56.0;0.45;42599
D 35;Energieversorgung;9.2;0.37;23307
E 36-39;"Recycling; Wasserversorgung";34.2;0.36;13478
F 41-43;Baugewerbe;50.7;0.56;268101
G 45-47;"Handel; Reparatur- und Autogewerbe";48.2;0.28;449366
H 49-53;Verkehr und Transport;40.3;0.36;188255
I 55-56;Gastgewerbe;75.6;0.60;161078
J 58-63;Information und Kommunikation;26.9;0.23;141504
K 64-66;Finanz- und Versicherungsdienstleistungen;7.7;0.14;207580
L 68;Grundstücks- und Wohnungswesen;21.4;0.31;38647
M 69-75;Freiberufliche, technische und wissenschaftliche DL;44.5;0.28;349089
N 77-82;Sonstige wirtschaftliche Dienstleistungen;38.8;0.35;140245
O 84;Öffentl. Verwaltung, Sozialversicherungen;1.0;0.00;167460
P 85;Erziehung und Unterricht;13.3;0.56;247506
Q 86-88;Gesundheits- und Sozialwesen;23.1;0.00;469426
R 90-93;Kunst, Unterhaltung und Erholung;59.9;0.50;57823
S 94-96;Sonstige Dienstleistungen;30.3;0.53;106093
;;;;
